,bill_resolution_type,bill_type,bill_type_label,congress,current_status,current_status_date,current_status_description,current_status_label,display_number,docs_house_gov_postdate,id,introduced_date,is_alive,is_current,link,lock_title,major_actions,noun,number,senate_floor_schedule_postdate,sliplawnum,sliplawpubpriv,source,source_link,sponsor.bioguideid,sponsor.birthday,sponsor.cspanid,sponsor.firstname,sponsor.gender,sponsor.gender_label,sponsor.id,sponsor.lastname,sponsor.link,sponsor.middlename,sponsor.name,sponsor.namemod,sponsor.nickname,sponsor.osid,sponsor.pvsid,sponsor.sortname,sponsor.twitterid,sponsor.youtubeid,sponsor_role.caucus,sponsor_role.congress_numbers,sponsor_role.current,sponsor_role.description,sponsor_role.district,sponsor_role.enddate,sponsor_role.extra,sponsor_role.id,sponsor_role.leadership_title,sponsor_role.party,sponsor_role.person,sponsor_role.phone,sponsor_role.role_type,sponsor_role.role_type_label,sponsor_role.senator_class,sponsor_role.senator_class_label,sponsor_role.senator_rank,sponsor_role.startdate,sponsor_role.state,sponsor_role.title,sponsor_role.title_long,sponsor_role.website,thomas_link,title,title_without_number,titles,clean_title
10,bill,senate_bill,S.,110,referred,2007-12-05,"This bill was introduced on December 5, 2007, in a previous session of Congress, but was not enacted.",Referred to Committee,S. 2415,,137062,2007-12-05,False,False,https://www.govtrack.us/congress/bills/110/s2415,False,"[[datetime.datetime(2007, 12, 5, 0, 0), 2, Read twice and referred to the Committee on Foreign Relations., <action datetime=""2007-12-05"" state=""REFERRED"">
      <text>Read twice and referred to the Committee on Foreign Relations.</text>
    </action>
  ]]",bill,2415,,,,thomas-congproj,,C001041,1947-10-26,,Hillary,female,Female,300022,Clinton,https://www.govtrack.us/congress/members/hillary_clinton/300022,Rodham,"Sen. Hillary Clinton [D-NY, 2001-2009]",,,N00000019,55463,"Clinton, Hillary (Sen.) [D-NY, 2001-2009]",,,,"[110, 111]",False,Senator from New York,,2009-01-21,,3916,,Democrat,300022,,senator,Senator,class1,Class 1,,2007-01-04,NY,Sen.,Senator,http://clinton.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d110:s2415:,S. 2415 (110th): Protection Against Transmission of HIV for Women and Youth Act of 2007,Protection Against Transmission of HIV for Women and Youth Act of 2007,"[[short, introduced, Protection Against Transmission of HIV for Women and Youth Act of 2007], [official, introduced, A bill to require the President and the Office of the Global AIDS Coordinator to establish a comprehensive and integrated HIV prevention strategy to address the vulnerabilities of women and girls in countries for which the United States provides assistance to combat HIV/AIDS, and for other purposes.]]",Protection Against Transmission of HIV for Women and Youth Act of 2007
11,bill,senate_bill,S.,110,referred,2007-03-29,"This bill was introduced on March 29, 2007, in a previous session of Congress, but was not enacted.",Referred to Committee,S. 1063,,133774,2007-03-29,False,False,https://www.govtrack.us/congress/bills/110/s1063,False,"[[datetime.datetime(2007, 3, 29, 0, 0), 2, Read twice and referred to the Committee on Armed Services., <action datetime=""2007-03-29"" state=""REFERRED"">
      <text>Read twice and referred to the Committee on Armed Services.</text>
    </action>
  ]]",bill,1063,,,,thomas-congproj,,C001041,1947-10-26,,Hillary,female,Female,300022,Clinton,https://www.govtrack.us/congress/members/hillary_clinton/300022,Rodham,"Sen. Hillary Clinton [D-NY, 2001-2009]",,,N00000019,55463,"Clinton, Hillary (Sen.) [D-NY, 2001-2009]",,,,"[110, 111]",False,Senator from New York,,2009-01-21,,3916,,Democrat,300022,,senator,Senator,class1,Class 1,,2007-01-04,NY,Sen.,Senator,http://clinton.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d110:s1063:,S. 1063 (110th): Protecting Military Family Financial Benefits Act of 2007,Protecting Military Family Financial Benefits Act of 2007,"[[short, introduced, Protecting Military Family Financial Benefits Act of 2007], [official, introduced, A bill to amend title 10, United States Code, to improve certain death and survivor benefits with respect to members of the Armed Forces, and for other purposes.]]",Protecting Military Family Financial Benefits Act of 2007
12,bill,senate_bill,S.,110,referred,2008-09-26,"This bill was introduced on September 26, 2008, in a previous session of Congress, but was not enacted.",Referred to Committee,S. 3609,,133793,2008-09-26,False,False,https://www.govtrack.us/congress/bills/110/s3609,False,"[[datetime.datetime(2008, 9, 26, 0, 0), 2, Read twice and referred to the Committee on Banking, Housing, and Urban Affairs., <action datetime=""2008-09-26"" state=""REFERRED"">
      <text>Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.</text>
    </action>
  ]]",bill,3609,,,,thomas-congproj,,C001041,1947-10-26,,Hillary,female,Female,300022,Clinton,https://www.govtrack.us/congress/members/hillary_clinton/300022,Rodham,"Sen. Hillary Clinton [D-NY, 2001-2009]",,,N00000019,55463,"Clinton, Hillary (Sen.) [D-NY, 2001-2009]",,,,"[110, 111]",False,Senator from New York,,2009-01-21,,3916,,Democrat,300022,,senator,Senator,class1,Class 1,,2007-01-04,NY,Sen.,Senator,http://clinton.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d110:s3609:,S. 3609 (110th): Lead-Safe Housing for Kids Act of 2008,Lead-Safe Housing for Kids Act of 2008,"[[short, introduced, Lead-Safe Housing for Kids Act of 2008], [official, introduced, A bill to amend the Residential Lead-Based Paint Hazard Reduction Act of 1992 to define environmental intervention blood lead level, and for other purposes.]]",Lead-Safe Housing for Kids Act of 2008
13,bill,senate_bill,S.,110,referred,2007-05-16,"This bill was introduced on May 16, 2007, in a previous session of Congress, but was not enacted.",Referred to Committee,S. 1409,,133964,2007-05-16,False,False,https://www.govtrack.us/congress/bills/110/s1409,False,"[[datetime.datetime(2007, 5, 16, 0, 0), 2, Read twice and referred to the Committee on Veterans' Affairs., <action datetime=""2007-05-16"" state=""REFERRED"">
      <text>Read twice and referred to the Committee on Veterans' Affairs.</text>
    </action>
  ]]",bill,1409,,,,thomas-congproj,,C001041,1947-10-26,,Hillary,female,Female,300022,Clinton,https://www.govtrack.us/congress/members/hillary_clinton/300022,Rodham,"Sen. Hillary Clinton [D-NY, 2001-2009]",,,N00000019,55463,"Clinton, Hillary (Sen.) [D-NY, 2001-2009]",,,,"[110, 111]",False,Senator from New York,,2009-01-21,,3916,,Democrat,300022,,senator,Senator,class1,Class 1,,2007-01-04,NY,Sen.,Senator,http://clinton.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d110:s1409:,S. 1409 (110th): 21st Century GI Bill of Rights Act of 2007,21st Century GI Bill of Rights Act of 2007,"[[short, introduced, 21st Century GI Bill of Rights Act of 2007], [official, introduced, A bill to provide and enhance education, housing, and entrepreneur assistance for veterans who serve in the Armed Forces after September 11, 2001, and for other purposes.]]",21st Century GI Bill of Rights Act of 2007
14,bill,senate_bill,S.,110,referred,2007-03-15,"This bill was introduced on March 15, 2007, in a previous session of Congress, but was not enacted.",Referred to Committee,S. 907,,134008,2007-03-15,False,False,https://www.govtrack.us/congress/bills/110/s907,False,"[[datetime.datetime(2007, 3, 15, 0, 0), 2, Read twice and referred to the Committee on Health, Education, Labor, and Pensions., <action datetime=""2007-03-15"" state=""REFERRED"">
      <text>Read twice and referred to the Committee on Health, Education, Labor, and Pensions.</text>
    </action>
  ]]",bill,907,,,,thomas-congproj,,C001041,1947-10-26,,Hillary,female,Female,300022,Clinton,https://www.govtrack.us/congress/members/hillary_clinton/300022,Rodham,"Sen. Hillary Clinton [D-NY, 2001-2009]",,,N00000019,55463,"Clinton, Hillary (Sen.) [D-NY, 2001-2009]",,,,"[110, 111]",False,Senator from New York,,2009-01-21,,3916,,Democrat,300022,,senator,Senator,class1,Class 1,,2007-01-04,NY,Sen.,Senator,http://clinton.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d110:s907:,S. 907 (110th): GEDI Act,GEDI Act,"[[short, introduced, GEDI Act], [short, introduced, Gestational Diabetes Act of 2007], [official, introduced, A bill to establish an Advisory Committee on Gestational Diabetes, to provide grants to better understand and reduce gestational diabetes, and for other purposes.]]",GEDI Act
15,bill,senate_bill,S.,110,referred,2007-03-08,"This bill was introduced on March 8, 2007, in a previous session of Congress, but was not enacted.",Referred to Committee,S. 820,,134070,2007-03-08,False,False,https://www.govtrack.us/congress/bills/110/s820,False,"[[datetime.datetime(2007, 3, 8, 0, 0), 2, Read twice and referred to the Committee on Health, Education, Labor, and Pensions., <action datetime=""2007-03-08"" state=""REFERRED"">
      <text>Read twice and referred to the Committee on Health, Education, Labor, and Pensions.</text>
    </action>
  ]]",bill,820,,,,thomas-congproj,,C001041,1947-10-26,,Hillary,female,Female,300022,Clinton,https://www.govtrack.us/congress/members/hillary_clinton/300022,Rodham,"Sen. Hillary Clinton [D-NY, 2001-2009]",,,N00000019,55463,"Clinton, Hillary (Sen.) [D-NY, 2001-2009]",,,,"[110, 111]",False,Senator from New York,,2009-01-21,,3916,,Democrat,300022,,senator,Senator,class1,Class 1,,2007-01-04,NY,Sen.,Senator,http://clinton.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d110:s820:,S. 820 (110th): Choices in Child Care Act,Choices in Child Care Act,"[[short, introduced, Choices in Child Care Act], [official, introduced, A bill to establish demonstration projects to provide at-home infant care benefits.]]",Choices in Child Care Act
16,bill,senate_bill,S.,110,referred,2008-02-29,"This bill was introduced on February 29, 2008, in a previous session of Congress, but was not enacted.",Referred to Committee,S. 2682,,135150,2008-02-29,False,False,https://www.govtrack.us/congress/bills/110/s2682,False,"[[datetime.datetime(2008, 2, 29, 0, 0), 2, Read twice and referred to the Committee on Foreign Relations., <action datetime=""2008-02-29"" state=""REFERRED"">
      <text>Read twice and referred to the Committee on Foreign Relations.</text>
    </action>
  ]]",bill,2682,,,,thomas-congproj,,C001041,1947-10-26,,Hillary,female,Female,300022,Clinton,https://www.govtrack.us/congress/members/hillary_clinton/300022,Rodham,"Sen. Hillary Clinton [D-NY, 2001-2009]",,,N00000019,55463,"Clinton, Hillary (Sen.) [D-NY, 2001-2009]",,,,"[110, 111]",False,Senator from New York,,2009-01-21,,3916,,Democrat,300022,,senator,Senator,class1,Class 1,,2007-01-04,NY,Sen.,Senator,http://clinton.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d110:s2682:,S. 2682 (110th): United Nations Population Fund Restoration Act of 2008,United Nations Population Fund Restoration Act of 2008,"[[short, introduced, United Nations Population Fund Restoration Act of 2008], [official, introduced, A bill to direct United States funding to the United Nations Population Fund for certain purposes.]]",United Nations Population Fund Restoration Act of 2008
17,bill,senate_bill,S.,110,referred,2007-03-22,"This bill was introduced on March 22, 2007, in a previous session of Congress, but was not enacted.",Referred to Committee,S. 960,,135314,2007-03-22,False,False,https://www.govtrack.us/congress/bills/110/s960,False,"[[datetime.datetime(2007, 3, 22, 0, 0), 2, Read twice and referred to the Committee on Homeland Security and Governmental Affairs., <action datetime=""2007-03-22"" state=""REFERRED"">
      <text>Read twice and referred to the Committee on Homeland Security and Governmental Affairs.</text>
    </action>
    ]]",bill,960,,,,thomas-congproj,,C001041,1947-10-26,,Hillary,female,Female,300022,Clinton,https://www.govtrack.us/congress/members/hillary_clinton/300022,Rodham,"Sen. Hillary Clinton [D-NY, 2001-2009]",,,N00000019,55463,"Clinton, Hillary (Sen.) [D-NY, 2001-2009]",,,,"[110, 111]",False,Senator from New York,,2009-01-21,,3916,,Democrat,300022,,senator,Senator,class1,Class 1,,2007-01-04,NY,Sen.,Senator,http://clinton.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d110:s960:,S. 960 (110th): Public Service Academy Act of 2007,Public Service Academy Act of 2007,"[[short, introduced, Public Service Academy Act of 2007], [official, introduced, A bill to establish the United States Public Service Academy.]]",Public Service Academy Act of 2007
18,bill,senate_bill,S.,110,referred,2007-05-24,"This bill was introduced on May 24, 2007, in a previous session of Congress, but was not enacted.",Referred to Committee,S. 1485,,135528,2007-05-24,False,False,https://www.govtrack.us/congress/bills/110/s1485,False,"[[datetime.datetime(2007, 5, 24, 0, 0), 2, Read twice and referred to the Committee on Finance., <action datetime=""2007-05-24"" state=""REFERRED"">
      <text>Read twice and referred to the Committee on Finance.</text>
    </action>
  ]]",bill,1485,,,,thomas-congproj,,C001041,1947-10-26,,Hillary,female,Female,300022,Clinton,https://www.govtrack.us/congress/members/hillary_clinton/300022,Rodham,"Sen. Hillary Clinton [D-NY, 2001-2009]",,,N00000019,55463,"Clinton, Hillary (Sen.) [D-NY, 2001-2009]",,,,"[110, 111]",False,Senator from New York,,2009-01-21,,3916,,Democrat,300022,,senator,Senator,class1,Class 1,,2007-01-04,NY,Sen.,Senator,http://clinton.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d110:s1485:,S. 1485 (110th): Milk Import Tariff Equity Act,Milk Import Tariff Equity Act,"[[short, introduced, Milk Import Tariff Equity Act], [official, introduced, A bill to impose tariff-rate quotas on certain casein and milk protein concentrates.]]",Milk Import Tariff Equity Act
19,bill,senate_bill,S.,110,referred,2007-10-17,"This bill was introduced on October 17, 2007, in a previous session of Congress, but was not enacted.",Referred to Committee,S. 2175,,135648,2007-10-17,False,False,https://www.govtrack.us/congress/bills/110/s2175,False,"[[datetime.datetime(2007, 10, 17, 0, 0), 2, Read twice and referred to the Committee on Health, Education, Labor, and Pensions., <action datetime=""2007-10-17"" state=""REFERRED"">
      <text>Read twice and referred to the Committee on Health, Education, Labor, and Pensions.</text>
    </action>
  ]]",bill,2175,,,,thomas-congproj,,C001041,1947-10-26,,Hillary,female,Female,300022,Clinton,https://www.govtrack.us/congress/members/hillary_clinton/300022,Rodham,"Sen. Hillary Clinton [D-NY, 2001-2009]",,,N00000019,55463,"Clinton, Hillary (Sen.) [D-NY, 2001-2009]",,,,"[110, 111]",False,Senator from New York,,2009-01-21,,3916,,Democrat,300022,,senator,Senator,class1,Class 1,,2007-01-04,NY,Sen.,Senator,http://clinton.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d110:s2175:,S. 2175 (110th): Family Asthma Act,Family Asthma Act,"[[short, introduced, Family Asthma Act], [official, introduced, A bill to amend the Public Health Service Act with regard to research on asthma, and for other purposes.]]",Family Asthma Act
20,bill,senate_bill,S.,110,referred,2008-09-11,"This bill was introduced on September 11, 2008, in a previous session of Congress, but was not enacted.",Referred to Committee,S. 3470,,135666,2008-09-11,False,False,https://www.govtrack.us/congress/bills/110/s3470,False,"[[datetime.datetime(2008, 9, 11, 0, 0), 2, Read twice and referred to the Committee on Foreign Relations., <action datetime=""2008-09-11"" state=""REFERRED"">
      <text>Read twice and referred to the Committee on Foreign Relations.</text>
    </action>
  ]]",bill,3470,,,,thomas-congproj,,C001041,1947-10-26,,Hillary,female,Female,300022,Clinton,https://www.govtrack.us/congress/members/hillary_clinton/300022,Rodham,"Sen. Hillary Clinton [D-NY, 2001-2009]",,,N00000019,55463,"Clinton, Hillary (Sen.) [D-NY, 2001-2009]",,,,"[110, 111]",False,Senator from New York,,2009-01-21,,3916,,Democrat,300022,,senator,Senator,class1,Class 1,,2007-01-04,NY,Sen.,Senator,http://clinton.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d110:s3470:,S. 3470 (110th): Support for Iraq Oil Trust Act of 2008,Support for Iraq Oil Trust Act of 2008,"[[short, introduced, Support for Iraq Oil Trust Act of 2008], [official, introduced, A bill to require United States Government representatives to present to the Government of Iraq a plan to establish an oil trust.]]",Support for Iraq Oil Trust Act of 2008
21,bill,senate_bill,S.,110,referred,2007-05-22,"This bill was introduced on May 22, 2007, in a previous session of Congress, but was not enacted.",Referred to Committee,S. 1444,,135789,2007-05-22,False,False,https://www.govtrack.us/congress/bills/110/s1444,False,"[[datetime.datetime(2007, 5, 22, 0, 0), 2, Read twice and referred to the Committee on Homeland Security and Governmental Affairs., <action datetime=""2007-05-22"" state=""REFERRED"">
      <text>Read twice and referred to the Committee on Homeland Security and Governmental Affairs.</text>
    </action>
    ]]",bill,1444,,,,thomas-congproj,,C001041,1947-10-26,,Hillary,female,Female,300022,Clinton,https://www.govtrack.us/congress/members/hillary_clinton/300022,Rodham,"Sen. Hillary Clinton [D-NY, 2001-2009]",,,N00000019,55463,"Clinton, Hillary (Sen.) [D-NY, 2001-2009]",,,,"[110, 111]",False,Senator from New York,,2009-01-21,,3916,,Democrat,300022,,senator,Senator,class1,Class 1,,2007-01-04,NY,Sen.,Senator,http://clinton.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d110:s1444:,S. 1444 (110th): Supply Our Soldiers Act of 2007,Supply Our Soldiers Act of 2007,"[[short, introduced, Supply Our Soldiers Act of 2007], [official, introduced, A bill to provide for free mailing privileges for personal correspondence and parcels sent to members of the Armed Forces serving on active duty in Iraq or Afghanistan.]]",Supply Our Soldiers Act of 2007
22,bill,senate_bill,S.,110,referred,2008-05-15,"This bill was introduced on May 15, 2008, in a previous session of Congress, but was not enacted.",Referred to Committee,S. 3028,,135866,2008-05-15,False,False,https://www.govtrack.us/congress/bills/110/s3028,False,"[[datetime.datetime(2008, 5, 15, 0, 0), 2, Read twice and referred to the Committee on Health, Education, Labor, and Pensions., <action datetime=""2008-05-15"" state=""REFERRED"">
      <text>Read twice and referred to the Committee on Health, Education, Labor, and Pensions.</text>
    </action>
  ]]",bill,3028,,,,thomas-congproj,,C001041,1947-10-26,,Hillary,female,Female,300022,Clinton,https://www.govtrack.us/congress/members/hillary_clinton/300022,Rodham,"Sen. Hillary Clinton [D-NY, 2001-2009]",,,N00000019,55463,"Clinton, Hillary (Sen.) [D-NY, 2001-2009]",,,,"[110, 111]",False,Senator from New York,,2009-01-21,,3916,,Democrat,300022,,senator,Senator,class1,Class 1,,2007-01-04,NY,Sen.,Senator,http://clinton.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d110:s3028:,S. 3028 (110th): Senior Year Community Service Act,Senior Year Community Service Act,"[[short, introduced, Senior Year Community Service Act], [official, introduced, A bill to amend the National and Community Service Act of 1990 to promote community service among United States youth by connecting secondary school seniors to community service opportunities.]]",Senior Year Community Service Act
23,bill,senate_bill,S.,110,referred,2007-07-18,"This bill was introduced on July 18, 2007, in a previous session of Congress, but was not enacted.",Referred to Committee,S. 1812,,135884,2007-07-18,False,False,https://www.govtrack.us/congress/bills/110/s1812,False,"[[datetime.datetime(2007, 7, 18, 0, 0), 2, Read twice and referred to the Committee on Health, Education, Labor, and Pensions., <action datetime=""2007-07-18"" state=""REFERRED"">
      <text>Read twice and referred to the Committee on Health, Education, Labor, and Pensions.</text>
    </action>
  ]]",bill,1812,,,,thomas-congproj,,C001041,1947-10-26,,Hillary,female,Female,300022,Clinton,https://www.govtrack.us/congress/members/hillary_clinton/300022,Rodham,"Sen. Hillary Clinton [D-NY, 2001-2009]",,,N00000019,55463,"Clinton, Hillary (Sen.) [D-NY, 2001-2009]",,,,"[110, 111]",False,Senator from New York,,2009-01-21,,3916,,Democrat,300022,,senator,Senator,class1,Class 1,,2007-01-04,NY,Sen.,Senator,http://clinton.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d110:s1812:,S. 1812 (110th): Mentoring America’s Children Act of 2007,Mentoring America’s Children Act of 2007,"[[short, introduced, Mentoring America's Children Act of 2007], [official, introduced, A bill to amend the Elementary and Secondary Education Act of 1965 to strengthen mentoring programs, and for other purposes.]]",Mentoring America’s Children Act of 2007
24,bill,senate_bill,S.,110,reported,2008-09-17,"This bill was introduced on September 17, 2008, in a previous session of Congress, but was not enacted.",Reported by Committee,S. 3489,,134186,2008-09-15,False,False,https://www.govtrack.us/congress/bills/110/s3489,False,"[[datetime.datetime(2008, 9, 15, 0, 0), 2, Read twice and referred to the Committee on Environment and Public Works., <action datetime=""2008-09-15"" state=""REFERRED"">
      <text>Read twice and referred to the Committee on Environment and Public Works.</text>
    </action>
    ], [datetime.datetime(2008, 9, 17, 0, 0), 3, Committee on Environment and Public Works. Ordered to be reported without amendment favorably., <calendar datetime=""2008-09-17"" state=""REPORTED"">
      <text>Committee on Environment and Public Works. Ordered to be reported without amendment favorably.</text>
    </calendar>
    ]]",bill,3489,,,,thomas-congproj,,C001041,1947-10-26,,Hillary,female,Female,300022,Clinton,https://www.govtrack.us/congress/members/hillary_clinton/300022,Rodham,"Sen. Hillary Clinton [D-NY, 2001-2009]",,,N00000019,55463,"Clinton, Hillary (Sen.) [D-NY, 2001-2009]",,,,"[110, 111]",False,Senator from New York,,2009-01-21,,3916,,Democrat,300022,,senator,Senator,class1,Class 1,,2007-01-04,NY,Sen.,Senator,http://clinton.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d110:s3489:,S. 3489 (110th): A bill to require the Administrator of the Environmental Protection Agency to conduct a study on black carbon emissions.,A bill to require the Administrator of the Environmental Protection Agency to conduct a study on black carbon emissions.,"[[official, introduced, A bill to require the Administrator of the Environmental Protection Agency to conduct a study on black carbon emissions.]]",A bill to require the Administrator of the Environmental Protection Agency to conduct a study on black carbon emissions.
25,resolution,senate_resolution,S.Res.,110,passed_simpleres,2008-12-09,"This simple resolution was agreed to on December 9, 2008. That is the end of the legislative process for a simple resolution.",Agreed To (Simple Resolution),S.Res. 727,,134267,2008-12-09,False,False,https://www.govtrack.us/congress/bills/110/sres727,False,"[[datetime.datetime(2008, 12, 9, 0, 0), 6, Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent., <vote how=""by Unanimous Consent"" type=""vote"" datetime=""2008-12-09"" where=""s"" result=""pass"" state=""PASSED:SIMPLERES"">
      <text>Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent.</text>
      <reference ref=""CR S10837-10838"" label=""consideration""/>
      <reference ref=""CR S10837-10838"" label=""text as passed Senate""/>
      <reference ref=""CR S10835"" label=""text of measure as introduced""/>
    </vote>
  ]]",resolution,727,,,,thomas-congproj,,C001041,1947-10-26,,Hillary,female,Female,300022,Clinton,https://www.govtrack.us/congress/members/hillary_clinton/300022,Rodham,"Sen. Hillary Clinton [D-NY, 2001-2009]",,,N00000019,55463,"Clinton, Hillary (Sen.) [D-NY, 2001-2009]",,,,"[110, 111]",False,Senator from New York,,2009-01-21,,3916,,Democrat,300022,,senator,Senator,class1,Class 1,,2007-01-04,NY,Sen.,Senator,http://clinton.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d110:sres727:,S.Res. 727 (110th): A resolution honoring the victims of the bombing of Pan Am flight 103 on the twentieth anniversary of the tragedy.,A resolution honoring the victims of the bombing of Pan Am flight 103 on the twentieth anniversary of the tragedy.,"[[official, introduced, A resolution honoring the victims of the bombing of Pan Am flight 103 on the twentieth anniversary of the tragedy.]]",A resolution honoring the victims of the bombing of Pan Am flight 103 on the twentieth anniversary of the tragedy.
26,bill,senate_bill,S.,110,referred,2008-09-24,"This bill was introduced on September 24, 2008, in a previous session of Congress, but was not enacted.",Referred to Committee,S. 3567,,134330,2008-09-24,False,False,https://www.govtrack.us/congress/bills/110/s3567,False,"[[datetime.datetime(2008, 9, 24, 0, 0), 2, Read twice and referred to the Committee on Foreign Relations., <action datetime=""2008-09-24"" state=""REFERRED"">
      <text>Read twice and referred to the Committee on Foreign Relations.</text>
    </action>
  ]]",bill,3567,,,,thomas-congproj,,C001041,1947-10-26,,Hillary,female,Female,300022,Clinton,https://www.govtrack.us/congress/members/hillary_clinton/300022,Rodham,"Sen. Hillary Clinton [D-NY, 2001-2009]",,,N00000019,55463,"Clinton, Hillary (Sen.) [D-NY, 2001-2009]",,,,"[110, 111]",False,Senator from New York,,2009-01-21,,3916,,Democrat,300022,,senator,Senator,class1,Class 1,,2007-01-04,NY,Sen.,Senator,http://clinton.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d110:s3567:,"S. 3567 (110th): A bill to establish a Commission on the conflict between Russia and Georgia, and for other purposes.","A bill to establish a Commission on the conflict between Russia and Georgia, and for other purposes.","[[official, introduced, A bill to establish a Commission on the conflict between Russia and Georgia, and for other purposes.]]","A bill to establish a Commission on the conflict between Russia and Georgia, and for other purposes."
27,bill,senate_bill,S.,110,referred,2007-01-09,"This bill was introduced on January 9, 2007, in a previous session of Congress, but was not enacted.",Referred to Committee,S. 211,,134401,2007-01-09,False,False,https://www.govtrack.us/congress/bills/110/s211,False,"[[datetime.datetime(2007, 1, 9, 0, 0), 2, Read twice and referred to the Committee on Health, Education, Labor, and Pensions., <action datetime=""2007-01-09"" state=""REFERRED"">
      <text>Read twice and referred to the Committee on Health, Education, Labor, and Pensions.</text>
    </action>
  ]]",bill,211,,,,thomas-congproj,,C001041,1947-10-26,,Hillary,female,Female,300022,Clinton,https://www.govtrack.us/congress/members/hillary_clinton/300022,Rodham,"Sen. Hillary Clinton [D-NY, 2001-2009]",,,N00000019,55463,"Clinton, Hillary (Sen.) [D-NY, 2001-2009]",,,,"[110, 111]",False,Senator from New York,,2009-01-21,,3916,,Democrat,300022,,senator,Senator,class1,Class 1,,2007-01-04,NY,Sen.,Senator,http://clinton.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d110:s211:,S. 211 (110th): Calling for 2-1-1 Act of 2007,Calling for 2-1-1 Act of 2007,"[[short, introduced, Calling for 2-1-1 Act of 2007], [official, introduced, A bill to facilitate nationwide availability of 2-1-1 telephone service for information and referral on human services. volunteer services, and for other purposes.]]",Calling for 2-1-1 Act of 2007
28,bill,senate_bill,S.,110,referred,2007-09-20,"This bill was introduced on September 20, 2007, in a previous session of Congress, but was not enacted.",Referred to Committee,S. 2082,,134564,2007-09-20,False,False,https://www.govtrack.us/congress/bills/110/s2082,False,"[[datetime.datetime(2007, 9, 20, 0, 0), 2, Read twice and referred to the Committee on Health, Education, Labor, and Pensions., <action datetime=""2007-09-20"" state=""REFERRED"">
      <text>Read twice and referred to the Committee on Health, Education, Labor, and Pensions.</text>
    </action>
  ]]",bill,2082,,,,thomas-congproj,,C001041,1947-10-26,,Hillary,female,Female,300022,Clinton,https://www.govtrack.us/congress/members/hillary_clinton/300022,Rodham,"Sen. Hillary Clinton [D-NY, 2001-2009]",,,N00000019,55463,"Clinton, Hillary (Sen.) [D-NY, 2001-2009]",,,,"[110, 111]",False,Senator from New York,,2009-01-21,,3916,,Democrat,300022,,senator,Senator,class1,Class 1,,2007-01-04,NY,Sen.,Senator,http://clinton.senate.gov,http://thomas.loc.gov/cgi-bin/bdquery/z?d110:s2082:,S. 2082 (110th): Coordinated Environmental Public Health Network Act of 2007,Coordinated Environmental Public Health Network Act of 2007,"[[short, introduced, Coordinated Environmental Public Health Network Act of 2007], [official, introduced, A bill to amend the Public Health Service Act to establish a Coordinated Environmental Public Health Network, and for other purposes.]]",Coordinated Environmental Public Health Network Act of 2007
